store_name,time_period,theme,avg_weighted_score,count
Store2,1-3 Years Ago,Other,1.66,196
Store2,1-3 Years Ago,Ease of locating items,1.66,146
Store2,1-3 Years Ago,Staff Behaviour,1.32,131
Store2,1-3 Years Ago,Cleanliness,1.27,73
Store2,1-3 Years Ago,Price/Value,1.2,1
Store2,1-3 Years Ago,Prices,1,1
Store2,1-3 Years Ago,Price,0.9,2
Store2,1-3 Years Ago,Waiting Time,0.86,71
Store2,1-3 Years Ago,Availability,0.6,1
Store2,1-3 Years Ago,Parking,0.6,3
Store2,Past 3 Months,Ease of locating items,1.78,8
Store2,Past 3 Months,Staff Behaviour,1.45,11
Store2,Past 3 Months,Cleanliness,1.44,5
Store2,Past 3 Months,Other,1.44,18
Store2,Past 3 Months,Waiting Time,0.9,3
Store2,Past 3-12 Months,Other,1.59,34
Store2,Past 3-12 Months,Ease of locating items,1.59,18
Store2,Past 3-12 Months,Cleanliness,1.22,10
Store2,Past 3-12 Months,Staff Behaviour,1.18,26
Store2,Past 3-12 Months,Waiting Time,0.78,14
Store2,Past Month,Ease of locating items,1.75,2
Store2,Past Month,Staff Behaviour,1.3,3
Store2,Past Month,Other,1.03,3
Store2,Past Month,Waiting Time,1,2
